Flow ID,Flow Name,User Goal,Entry Point,Prerequisites,Steps Observed,Pages Observed,Required Input,Optional Input,Alternative Branches,Confirmation Step,System Response,Validation,UX Friction,Estimated Difficulty,Observed Status,Evidence,Flow File
FL-AUTH-003,ثبت‌نام,ساخت حساب جدید,صفحه ورود/ثبت‌نام,حساب خارج‌شده,نامشخص,نامشخص,شماره موبایل و OTP احتمالی,نامشخص,نامشخص,OTP احتمالی,,,,نامشخص,قابل‌دسترسی‌نبود,حساب فعلی لاگین بود و خروج انجام نشد,05-flows/registration.md
FL-AUTH-001,ورود,ورود به حساب ملی‌گلد,/pwa/account,خروج از حساب یا شروع ناشناس,نامشخص,نامشخص,شماره موبایل و OTP احتمالی,نامشخص,نامشخص,OTP احتمالی,,,,نامشخص,قابل‌دسترسی‌نبود,حساب از قبل وارد شده بود و خارج نشدم,05-flows/login.md
FL-AUTH-002,احراز هویت,تایید هویت کاربر,Profile,حساب لاگین‌شده,نامشخص,1,نامشخص,نامشخص,تایید/رد/درحال بررسی,نامشخص,,,,نامشخص,قابل‌دسترسی‌نبود,فقط وضعیت تایید شده در پروفایل مشاهده شد,05-flows/identity-verification.md
FL-DASH-001,داشبورد,دیدن قیمت و دارایی و ورود به سرویس‌ها,/pwa/home?asset=gold,ورود,3,1,ندارد,انتخاب طلا/نقره,دارایی طلا یا نقره,ندارد,,,,آسان,مشاهده‌شده,SS:melligold-FL-DASH-001-01-home-dashboard.png,05-flows/dashboard.md
FL-BUY-001,خرید طلا,خرید طلا با موجودی کیف پول,/pwa/buy-sell?asset=gold,ورود و موجودی ریالی,5,3,مبلغ خرید,کد تخفیف,موجودی کافی/ناکافی و حداقل خرید,پیش‌فاکتور,,,,متوسط,ناتمام,SS:melligold-FL-BUY-001-03-confirm-preview.png,05-flows/buy-gold.md
FL-SELL-001,فروش طلا,فروش موجودی طلا,/pwa/buy-sell?asset=gold&tab=sell,ورود و موجودی طلا,3,1,مبلغ/مقدار فروش,کل موجودی,موجودی کافی/ناکافی,پیش‌فاکتور احتمالی,,,,متوسط,قابل‌دسترسی‌نبود,SS:melligold-FL-SELL-001-02-insufficient-gold.png,05-flows/sell-gold.md
FL-DEPOSIT-001,واریز ریالی,شارژ کیف پول,/pwa/payment-gateway/methods,ورود و کارت/حساب مجاز بسته به روش,4,6,مبلغ یا انجام انتقال,کارت/حساب,درگاه/کارت‌به‌کارت/حساب/شناسه/سنگین,پرداخت یا اعلام واریز,,,,متوسط,ناتمام,SS:melligold-FL-DEPOSIT-001-01-method-list.png,05-flows/deposit.md
FL-WITHDRAW-001,برداشت ریالی,برداشت از کیف پول به حساب بانکی,/pwa/payout,ورود و حساب بانکی,4,2,مبلغ برداشت و حساب مقصد,کل موجودی,بانک مقصد و چرخه پایا,ثبت برداشت,,,,متوسط,ناتمام,SS:melligold-FL-WITHDRAW-001-01-payout-entry.png,05-flows/withdrawal.md
FL-BANK-001,مدیریت حساب بانکی,مشاهده یا افزودن کارت,/pwa/cards,ورود و احراز هویت,3,3,شماره کارت برای افزودن,ندارد,کارت معتبر/خالی,افزودن کارت,,,,متوسط,ناتمام,SS:melligold-FL-BANK-001-02-add-account-form.png,05-flows/bank-accounts.md
FL-HISTORY-001,تاریخچه و رسید,دیدن تراکنش‌ها و رسید,/pwa/history,ورود,4,5,ندارد,انتخاب تب,تب‌های تراکنش,ندارد,,,,آسان,مشاهده‌شده,SS:melligold-FL-HISTORY-001-05-deposit-receipt.png,05-flows/history.md
