Feature ID,Category,Feature Name,Description,User Benefit,Location,Entry Point,Access Requirement,KYC Requirement,Financial Requirement,Observed Status,Availability,Platform,Business Rule,Fee,Limit,Evidence,Screenshot ID,Notes,Comparison Tag
MIL-F-001,Navigation,Dashboard,"price balance shortcuts chart",quick overview,/app/home,login,authenticated,yes,no,مشاهده‌شده,available,Web App,"5-tab navigation",not shown,none,"direct UI",milli-FL-DASH-001-01-dashboard.png,,Core
MIL-F-002,Market,Live gold price,"1mg 18k price and chart",price awareness,/app/home,home,public/authenticated,no,no,مشاهده‌شده,available,Web,"daily weekly monthly",spread not disclosed,none,"direct UI",milli-FL-DASH-001-01-dashboard.png,,Price
MIL-F-003,Trade,Buy gold,"rial or milli input; wallet/direct gateway",invest instantly,/app/trade/buy,home buy,authenticated,yes,yes,مشاهده‌شده,available,Web,"20 free trades shown",0 in observed preview,120000 milli/day,"direct UI",milli-FL-BUY-001-03-calculated.png,"bank payment not completed",Core
MIL-F-004,Trade,Sell gold,"sell asset into rial wallet",liquidity,/app/trade/sell,home sell,authenticated,yes,gold balance,مشاهده‌شده,available,Web,"1mg rejected; 3mg accepted",0 in completed sale,40000 milli/day,"completed real sale",milli-FL-SELL-001-08-result.png,"receipt URL used BUY success label",Core
MIL-F-005,Wallet,Rial wallet,"balance deposit withdraw",cash management,/app/wallet,bottom nav,authenticated,yes,no,مشاهده‌شده,available,Web,registered bank account for withdrawal,bank fee on withdrawal,2bn rial withdrawal/day,"direct UI",milli-FL-WALLET-001-01-wallet.png,,Core
MIL-F-006,Deposit,Online gateway,"own bank card gateway",fast funding,/app/wallet/deposit,wallet increase,authenticated,yes,bank card,مشاهده‌شده,available,Web,"own card only",payment-processor dependent,"10m toman/txn; 20m/day",direct UI,milli-FL-DEPOSIT-001-02-online-form.png,,Money
MIL-F-007,Deposit,Card to card,"transfer to shown card",alternative funding,deposit methods,wallet increase,authenticated,yes,bank transfer,مشاهده‌شده,available,Web,"auto credit after matching",not found,"menu 15m; FAQ 10m/day",direct UI,milli-FL-DEPOSIT-002-01-card-to-card.png,"limit inconsistency",Money
MIL-F-008,Deposit,ID transfer,"Paya Satna Pol account transfer with national ID",high-value funding,deposit methods,wallet increase,authenticated,yes,registered shaba,مشاهده‌شده,available,Web,"ID=national code; registered shaba",not found,unlimited wallet deposit,direct UI,milli-FL-DEPOSIT-003-01-with-id.png,"wrong ID returned after 2 Paya cycles",Money
MIL-F-009,Withdraw,Bank withdrawal,"withdraw to registered shaba",cash out,/app/wallet/withdraw,wallet,authenticated,yes,rial balance,مشاهده‌شده,available,Web,"preview before confirm",20000 rial observed,2bn rial/day,"completed real withdrawal",milli-FL-WITHDRAW-001-08-receipt.png,,Core
MIL-F-010,Banking,Bank accounts,"register card and shaba",enable money flows,profile/bank-account-management,profile,authenticated,yes,real bank data,مشاهده‌شده,available,Web,account must belong to user,not found,not found,direct UI,milli-FL-BANK-001-02-bank-account-added.png,,Trust
MIL-F-011,History,Transaction history,"list status date masked amount",track activity,/app/transactions,bottom nav,authenticated,yes,no,مشاهده‌شده,available,Web,transaction-specific details,none,none,direct UI,milli-FL-HISTORY-001-01-transactions.png,,Trust
MIL-F-012,History,Receipt,"status amounts rate balance time tracking code",proof and support,transaction details,history,authenticated,yes,completed transaction,مشاهده‌شده,available,Web,unique report ID,shown per transaction,none,direct UI,milli-FL-WITHDRAW-001-08-receipt.png,,Trust
MIL-F-013,History,Filters,"type status date range",find transactions,/app/transactions,filter,authenticated,yes,no,مشاهده‌شده,available,Web,multi-select transaction types,none,none,"direct textual evidence; no usable screenshot",,,UX
MIL-F-014,Gold,Gold transfer,"recipient account address",gift/transfer gold,/app/transfer,services,authenticated,yes,gold balance,قابل‌دسترسی‌نبود,partial,Web,recipient account required,unverified,500 milli/day,"stopped at recipient input",,,Core
MIL-F-015,Physical,Physical bullion delivery,"in-person bullion request",own physical gold,/app/receive-gold,services,authenticated,yes,sufficient gold,مشاهده‌شده,partial,Web,"5g and multiples; national ID",mint/delivery fee shown but not quantified,100000 milli/day,direct UI,milli-FL-PHYSICAL-001-03-insufficient-balance.png,"insufficient balance",Differentiator
MIL-F-016,Physical,Delivery request tracking,"in progress ready success failed",track pickup,/app/receive-gold,requests tab,authenticated,yes,submitted request,مشاهده‌شده,available,Web,pickup branch/representative,not found,none,direct UI,milli-FL-PHYSICAL-001-04-request-list.png,,Trust
MIL-F-017,Gifts,Gift card catalog,"50 to 10000mg cards",gift gold,/app/gift-card-order,services,authenticated,yes,payment,مشاهده‌شده,partial,Web,"expires; unused value to charity",not found,50-10000mg,direct UI,milli-FL-GIFTCARD-001-02-catalog.png,"landing amounts conflict with catalog",Growth
MIL-F-018,Gifts,Redeem gift code,"enter and confirm code",receive gift,profile gift,profile,authenticated,yes,valid code,قابل‌دسترسی‌نبود,partial,Web,valid code required,not found,not found,"direct textual evidence; no usable screenshot",,,Growth
MIL-F-019,Growth,Referral,"code rewards progress",acquire and earn,/app/referral,profile banner,authenticated,yes,friend signup+KYC,مشاهده‌شده,available,Web,"9 milli/friend; up to 100",none,900mg total,direct UI,milli-FL-REFERRAL-001-01-referral.png,,Growth
MIL-F-020,Credit,Installment gold purchase,"AzkiVam/BlueBank credit",buy without cash,/app/installment-purchase,services,authenticated,yes,provider approval,مشاهده‌شده,partial,Web,"gold pledged; fee nonrefundable",3.5% Milli + provider cost,30-200m toman,direct UI,milli-FL-INSTALLMENT-001-07-credit-result.png,"12/24 vs guide 12/18 inconsistency",Credit
MIL-F-021,Credit,Collateral goods credit,"Tara/DigiPay against gold",spend without selling,/app/gold-collateral,services,authenticated,yes,gold collateral,مشاهده‌شده,partial,Web,collateral locked until repayment,3 milli in example,Tara 150m; DigiPay 100m,direct UI,milli-FL-COLLATERAL-001-02-calculator.png,"DigiPay temporarily inactive",Credit
MIL-F-022,Payments,Milli Card,"POS card backed by gold",spend gold broadly,/app/milli-card,services,authenticated,yes,eligible assets,مشاهده‌شده,partial,Web,bank float settled from gold,not found,not found,direct UI,milli-FL-MILLICARD-001-01-overview.png,"pilot; request not submitted",Payments
MIL-F-023,Payments,Store payment,"scan branch QR and pay from balance",pay at Milli stores,/app/store-purchase-onboarding,services,authenticated,yes,balance+QR,قابل‌دسترسی‌نبود,partial,Web,physical Milli shops only,not found,not found,direct UI,milli-FL-STOREPAY-001-01-onboarding.png,"QR unavailable",Payments
MIL-F-024,Account,MilliPro,"choose Milli or Bank Kargoshaei vault",custody choice,/app/milli-pro,profile,authenticated,yes,50mg assets,مشاهده‌شده,available,Web,"activation 7 business days",not found,"withdraw 200m vs 50m toman",direct UI,milli-FL-MILLIPRO-001-01-overview.png,"delivery 1 vs 10 days",Trust
MIL-F-025,Security,Change password,"account password change",account safety,security settings,profile,authenticated,yes,no,مشاهده‌شده,available,Web,current/new password expected,none,none,direct UI,milli-FL-SECURITY-001-01-settings.png,,Security
MIL-F-026,Security,SMS 2FA,"SMS two-step checkbox",account safety,security settings,profile,authenticated,yes,phone,مشاهده‌شده,available,Web,SMS-based,none,none,direct UI,milli-FL-SECURITY-001-01-settings.png,,Security
MIL-F-027,Support,Live chat,"Gapify online chat",get help,home/profile,support label,authenticated,no,no,مشاهده‌شده,available,Web,"usually replies in minutes",none,none,"direct textual evidence; no usable screenshot",,"message not sent",Support
MIL-F-028,Account,User profile,"name birthdate editable; ID phone locked",manage identity,/app/profile/user-info,profile,authenticated,yes,no,مشاهده‌شده,available,Web,ID and phone noneditable,none,none,direct UI,milli-FL-PROFILE-001-02-user-info.png,,Account
MIL-F-029,Trust,Licenses,"multiple official licenses and queries",build trust,public licenses,public,no,no,مشاهده‌شده,available,Web,external validity not independently checked,none,none,direct UI,milli-trust-01-licenses.png,,Trust
MIL-F-030,Trust,Vault receipts,"Bank Kargoshaei receipt gallery",asset backing,public receipts,public,no,no,مشاهده‌شده,available,Web,dated receipts,none,none,direct UI,milli-trust-02-vault-receipts.png,"freshness unresolved",Trust
MIL-F-031,Market,Coin purchase,"transaction type and request tab",buy coins,requests/history filter,services/requests,authenticated,yes,payment,مشاهده‌شده,temporarily inactive,Web,feature inactive message,not found,2 coins/day,direct UI,milli-FL-REQUESTS-001-01-requests.png,,Physical
MIL-F-032,Notifications,Notification center,"independent center/settings",updates,not found,not found,authenticated,unknown,no,یافت‌نشد,not found,Web,not observed,not found,not found,reviewed navigation,,,Gap
MIL-F-033,Account,Logout,"end session",security,profile,profile,authenticated,no,no,مشاهده‌شده,available,Web,confirmation not tested,none,none,direct UI,milli-FL-PROFILE-001-01-profile.png,,Security
