Feature ID,Category,Feature Name,Description,User Benefit,Location,Entry Point,Access Requirement,KYC Requirement,Financial Requirement,Observed Status,Availability,Platform,Business Rule,Fee,Limit,Evidence,Screenshot ID,Notes,Comparison Tag
"WG-PUB-001","سایت عمومی","خانه عمومی","معرفی وال‌گلد به عنوان پلتفرم خرید و فروش طلای آب‌شده آنلاین","شروع اعتماد و ورود به محصول","/","ناوبری عمومی","ندارد","ندارد","ندارد","مشاهده‌شده","فعال","Web","پیام امنیت، شفافیت و دسترسی دائمی نمایش داده شد","نامشخص","نامشخص","H1 و CTAهای خانه مشاهده شد","wallgold-public-001-home.png","تمرکز پیام روی طلای آب‌شده است","Public"
"WG-PUB-002","قیمت","صفحه قیمت طلا","قیمت ۱۸ عیار، تابلو قیمت، نمودار، پیش‌بینی، بازدهی، تحلیل و دیدگاه‌ها","کمک به تصمیم خرید و فروش","/gold-price","منوی قیمت طلا","ندارد","ندارد","ندارد","مشاهده‌شده","فعال","Web","قیمت‌ها لحظه‌ای و تاریخ‌دار نمایش داده شدند","نامشخص","نامشخص","صفحه قیمت با تاریخ ۲۲ تیر ۱۴۰۵ مشاهده شد","شواهد متنی مستقیم، اسکرین‌شات قابل استفاده ندارد","اسکرین‌شات صفحه قیمت پایدار نشد","Price"
"WG-PUB-003","اعتماد","مجوزها","نمایش مجوزهای رسمی و پشتوانه قانونی","افزایش اعتماد قبل از معامله","/licenses","منوی مجوزها","ندارد","ندارد","ندارد","مشاهده‌شده","فعال","Web","اتحادیه کسب‌وکارهای مجازی، سندباکس وزارت صمت، نظام صنفی رایانه‌ای و اینماد دیده شد","ندارد","ندارد","صفحه مجوزها مشاهده شد","wallgold-public-003-licenses.png","ذکر نگهداری در بانک کارگشایی در همین صفحه دیده شد","Trust"
"WG-PUB-004","قوانین","قوانین و مقررات عمومی","صفحه دسته‌بندی قوانین برای وال‌گلد و سرویس‌های مالی","دسترسی به شرایط حقوقی","/terms-and-conditions","فوتر و لینک سریع","ندارد","ندارد","ندارد","مشاهده‌شده","فعال","Web","دسته‌های قوانین عمومی، قسطی، اعتبار فوری، طلاساز، های‌بانک و تارا دیده شد","نامشخص","نامشخص","متن صفحه قوانین مشاهده شد","شواهد متنی مستقیم، اسکرین‌شات قابل استفاده ندارد","جزئیات هر دسته در مرحله ۱ باز نشد","Legal"
"WG-PUB-005","FAQ","FAQ دسته‌ای","FAQ با دسته‌های وال‌گلد، معاملات، قسطی، اعتبار، طلاساز، های‌بانک، تارا و تضمین قیمت","کاهش ابهام و پشتیبانی سلف‌سرویس","/app/faq","فوتر و پروفایل","ندارد","ندارد","ندارد","مشاهده‌شده","فعال","Web/PWA","FAQ معاملات پاسخ‌های قوانین مالی دارد","ندارد","بسته به دسته","دسته FAQ معاملات باز شد","wallgold-public-005-faq-transactions.png","FAQ داخل مسیر app است اما عمومی قابل مشاهده بود","FAQ"
"WG-RULE-001","کارمزد","کارمزد خرید و فروش","FAQ معاملات کارمزد ۰.۵٪ برای خرید و فروش اعلام کرد","شفافیت هزینه معامله","/app/faq/transactions","FAQ معاملات","ندارد","ندارد","معامله طلا","مشاهده‌شده","فعال","Web/PWA","کارمزد معاملات ۰.۵٪ در خرید و فروش است","۰.۵٪","حداقل فروش دو سوت و حداقل خرید یک سوت در همان پاسخ آمده","پاسخ FAQ کارمزد مشاهده شد","wallgold-public-005-faq-transactions.png","با جدول محدودیت ۰.۰۰۷ گرم نیاز به تطبیق دارد","Fee"
"WG-RULE-002","محدودیت","محدودیت‌های معاملات و کیف پول","FAQ معاملات جدول محدودیت روزانه را نشان داد","شفافیت سقف و کف قبل از اقدام","/app/faq/transactions","FAQ معاملات","ندارد","ندارد","بسته به فلو","مشاهده‌شده","فعال","Web/PWA","واریز، خرید، فروش، برداشت و دریافت فیزیکی محدودیت روزانه دارند","نامشخص","واریز ۱۰هزار تا ۲۰۰میلیون؛ خرید حداقل ۰.۰۰۷ گرم و سقف نقدی ۲۰۰میلیون؛ فروش حداقل ۰.۰۰۷ گرم و سقف بدون محدودیت؛ برداشت ۵۰هزار تا ۱۰۰میلیون؛ دریافت فیزیکی ۱ تا ۱۰ گرم","پاسخ FAQ محدودیت‌ها مشاهده شد","wallgold-public-005-faq-transactions.png","با حداقل ۰.۲ گرم در صفحه دریافت فیزیکی تناقض احتمالی دارد","Limits"
"WG-PUB-006","ابزار","ابزارهای بازار طلا","ماشین حساب و ابزارهای تبدیل طلا","آموزش و تصمیم‌گیری مالی","/tools","منوی ابزارها","ندارد","ندارد","ندارد","مشاهده‌شده","فعال","Web","ماشین حساب قیمت، حباب و تبدیل واحدها دیده شد","ندارد","ندارد","صفحه ابزارها مشاهده شد","شواهد متنی مستقیم، اسکرین‌شات قابل استفاده ندارد","صفحه راهنمای مستقل یافت نشد؛ ابزارها نقش کمکی دارند","Education"
"WG-PUB-007","درباره/اعتماد","درباره ما","روایت چشم‌انداز، ماموریت، ارتباط با والکس و اعتماد","تقویت اعتبار برند","/about","فوتر و ناوبری","ندارد","ندارد","ندارد","مشاهده‌شده","فعال","Web","ارتباط با والکس و اعتماد، شفافیت و امنیت تکرار شد","ندارد","ندارد","صفحه درباره مشاهده شد","شواهد متنی مستقیم، اسکرین‌شات قابل استفاده ندارد","در متن درباره یک بخش تکراری/مشابه دیده شد","Brand Trust"
"WG-PUB-008","پشتیبانی","پشتیبانی عمومی","تلفن، چت آنلاین و شعبه حضوری","دسترسی به کمک و اعتماد","/app/support","فوتر و تماس با ما","ندارد","ندارد","ندارد","مشاهده‌شده","فعال","Web/PWA","ساعت پاسخگویی تلفنی ۹ تا ۱۸ دیده شد","ندارد","ندارد","صفحه پشتیبانی مشاهده شد","wallgold-FL-SUPPORT-001-01-support.png","چت باز نشد چون ارسال پیام پشتیبانی حساس است","Support"
