Flow ID,Flow Name,User Goal,Entry Point,Prerequisites,Steps Observed,Pages Observed,Required Input,Optional Input,Alternative Branches,Confirmation Step,System Response,Validation,UX Friction,Estimated Difficulty,Observed Status,Evidence,Flow File
WG-FL-DASH-001,خانه اپ,دیدن دارایی قیمت و میانبرها,/app,نشست فعال,3,1,ندارد,,طلای در دسترس/اعلان/میانبرها,,نمایش موجودی و shortcutها,session,کم,,مشاهده‌شده,SS:wallgold-FL-WALLET-001-01-gold-accessible.png,05-flows/dashboard.md
WG-FL-WALLET-001,کیف طلا و دارایی,دیدن موجودی طلا و ارزش تقریبی,/app > طلای در دسترس,نشست فعال,2,1,ندارد,,نمایش/مخفی موجودی,,Bottom sheet دارایی,session,کم,,مشاهده‌شده,SS:wallgold-FL-WALLET-001-01-gold-accessible.png,05-flows/wallet.md
WG-FL-BUYSELL-001,خرید و فروش طلا,خرید یا فروش طلای آب‌شده,/app/buy,نشست فعال و موجودی,3,2,مبلغ/مقدار,,خرید/فروش/همه موجودی,,نمایش قیمت و مقدار,حداقل و موجودی,متوسط,,ناتمام,SS:wallgold-FL-BUYSELL-001-02-sell-entry.png,05-flows/buy-sell.md
WG-FL-DEPOSIT-001,واریز تومان,شارژ کیف پول ریالی,/app/deposit,نشست فعال و روش بانکی,6,4,مبلغ یا حواله بانکی,,درگاه/شناسه/کارت‌به‌کارت,,نمایش فرم یا راهنما,کارت/حساب ثبت‌شده,متوسط,,ناتمام,SS:wallgold-FL-DEPOSIT-001-01-entry.png,05-flows/deposit.md
WG-FL-WITHDRAW-001,برداشت تومان,برداشت وجه به کارت/حساب,/app/withdraw,نشست فعال و کارت بانکی,2,1,انتخاب کارت/تایید ادامه,,افزودن کارت,,نمایش زمان‌بندی و CTA,کارت متعلق به کاربر,متوسط,,ناتمام/اسکیپ‌شده,Text evidence,05-flows/withdrawal.md
WG-FL-BANK-001,حساب‌های بانکی,مشاهده یا افزودن حساب بانکی,/app/bank-cards,نشست فعال,1,1,ندارد برای مشاهده,,افزودن حساب,,نمایش لینک افزودن حساب,مالکیت کارت,متوسط,,ناتمام,Text evidence,05-flows/bank-accounts.md
WG-FL-HISTORY-001,تاریخچه و رسید,دیدن تراکنش‌ها و جزئیات رسید,/app/history,نشست فعال,4,2,انتخاب تب/تراکنش,,تب‌های نوع تراکنش,,نمایش لیست و رسید,تراکنش موجود,کم,,مشاهده‌شده,Text evidence,05-flows/history.md
WG-FL-PHYSICAL-001,دریافت فیزیکی طلا,تبدیل دارایی به شمش فیزیکی,/app/physical-gold,نشست فعال و موجودی کافی,3,1,انتخاب وزن/تعداد,,وزن‌های شمش,,پیام موجودی ناکافی و گزینه‌ها,حداقل موجودی,متوسط,,قابل‌دسترسی‌نبود برای تکمیل,Text evidence,05-flows/physical-delivery.md
WG-FL-TRANSFER-001,انتقال و دریافت طلا,ارسال طلا یا دریافت آدرس حساب,/app/transfer,نشست فعال,4,1,آدرس مقصد برای ارسال,,ارسال/آدرس حساب من,,نمایش فرم یا آدرس حساب,آدرس مقصد,متوسط,,ناتمام,SS:wallgold-FL-TRANSFER-001-01-entry.png,05-flows/transfer.md
WG-FL-GIFTCARD-001,کارت هدیه,ساخت یا دریافت کارت هدیه طلا,/app/gift-card,نشست فعال و موجودی طلا,4,2,طرح مقدار نام‌ها متن,,ساخت/تاریخچه/دریافت,,نمایش فرم کارت,موجودی/طول متن,متوسط,,ناتمام,SS:wallgold-FL-GIFTCARD-001-01-entry.png,05-flows/gift-card.md
WG-FL-REFERRAL-001,دعوت دوستان,دریافت پاداش دعوت,/app/referral-code,نشست فعال,3,1,اشتراک‌گذاری لینک,,کد معرف,,نمایش مراحل پاداش,ثبت‌نام و احراز دوست,کم,,ناتمام,SS:wallgold-FL-REFERRAL-001-01-entry.png,05-flows/referral.md
WG-FL-SUPPORT-001,پشتیبانی,تماس یا چت با پشتیبانی,/app/support,ندارد برای مشاهده,2,1,تماس/چت,,شعبه حضوری,,نمایش روش‌های پشتیبانی,ارسال پیام برای چت,کم,,ناتمام,SS:wallgold-FL-SUPPORT-001-01-support.png,05-flows/support.md
WG-FL-NOTIF-001,اعلان‌ها,دیدن پیام‌های محصول و تغییرات سقف,/app/notification-center,نشست فعال,2,1,انتخاب تب,,همه/خوانده نشده/فعالیت/رویداد,,نمایش پیام‌ها,session,کم,,مشاهده‌شده,SS:wallgold-FL-NOTIF-001-01-notification-center.png,05-flows/notifications.md
WG-FL-PROFILE-001,پروفایل و امنیت,دیدن اطلاعات حساب و تغییر رمز,/app/profile,نشست فعال,4,3,رمز فعلی/جدید برای تغییر رمز,,مشخصات/رمز/خروج,,نمایش اطلاعات و فرم رمز,قواعد رمز,متوسط,,ناتمام,SS:wallgold-FL-SECURITY-001-01-reset-password.png,05-flows/profile-security.md
WG-FL-INSTALLMENT-001,خرید قسطی,محاسبه خرید قسطی طلا,/app/loan/new,نشست فعال و اعتبار,3,1,مبلغ و مدت,,۳/۶/۱۲ ماهه,,محاسبه طلا و قسط,محدوده اعتبار,متوسط,,ناتمام,SS:wallgold-FL-INSTALLMENT-001-01-entry.png,05-flows/installment.md
WG-FL-CREDIT-001,اعتبار فوری,دریافت اعتبار با وثیقه طلا,/app/instant-loan,نشست فعال و طلای کافی,3,1,مبلغ اعتبار,,تنظیم مبلغ,,محاسبه وثیقه و هزینه,سقف/وثیقه,متوسط,,ناتمام,SS:wallgold-FL-CREDIT-001-01-instant-loan.png,05-flows/instant-credit.md
WG-FL-STAKING-001,طلاساز,سپردن طلا برای بازدهی,/app/staking/new,نشست فعال و موجودی طلا,4,1,مقدار طلا و دوره,,۳/۶/۱۲/۱۸ ماهه,,محاسبه/نمایش بازدهی,حداقل مقدار,متوسط,,ناتمام,Text evidence,05-flows/staking.md
WG-FL-LIMIT-001,سفارش دلخواه,ثبت سفارش خودکار در قیمت هدف,/app/limit-order/buy,نشست فعال و موجودی,4,2,قیمت هدف و مبلغ,,خرید/فروش/تاریخچه,,نمایش کارمزد و مدت اعتبار,موجودی/قیمت,متوسط,,ناتمام,Text evidence,05-flows/limit-order.md
WG-FL-HIBANK-001,وام های‌بانک,دریافت اعتبار بانکی با وثیقه طلا,/app/instant-credits/hibank,نشست فعال,2,1,استعلام بانکی,,فرایند ۶ مرحله‌ای,,نمایش onboarding و CTA استعلام,استعلام,زیاد,,ناتمام,Text evidence,05-flows/hibank.md
WG-FL-TARA-001,اعتبار تارا,دریافت اعتبار خرید کالا با وثیقه طلا,/app/instant-loan/tara/on-boarding,نشست فعال,2,1,ادامه onboarding,,مراحل بعدی,,نمایش مزایا,وثیقه,متوسط,,ناتمام,Text evidence,05-flows/tara.md
WG-FL-INSURANCE-001,تضمین قیمت طلا,محافظت از افت قیمت طلا,/app/insurance/on-boarding,نشست فعال,2,1,انتخاب طرح در مراحل بعد,,بعدی,,نمایش وعده جبران خسارت,پرداخت هزینه فعال‌سازی,متوسط,,ناتمام,Text evidence,05-flows/gold-insurance.md
WG-FL-SAVING-001,پس‌انداز,تنظیم یادآوری پس‌انداز طلا,/app/saving,نشست فعال,2,1,شروع در مراحل بعد,,یادآوری ماهانه,,نمایش onboarding,نامشخص,کم,,ناتمام,Text evidence,05-flows/saving.md
WG-FL-CAMPAIGN-001,انجمن اشباح,شرکت در کمپین و پیش‌بینی,/landing/ghosts,شماره موبایل حساب,3,1,شماره موبایل و ثبت حدس,,نتایج فصل‌ها,,نمایش کمپین و برندگان,شماره حساب وال‌گلد,متوسط,,ناتمام,Text evidence,05-flows/campaign-ghosts.md
