Feature ID,Category,Feature Name,Description,User Benefit,Location,Entry Point,Access Requirement,KYC Requirement,Financial Requirement,Observed Status,Availability,Platform,Business Rule,Fee,Limit,Evidence,Screenshot ID,Notes,Comparison Tag
"TAL-AUTH-001","ورود","ورود با رمز/OTP","ورود با موبایل و رمز یا رمز یکبارمصرف","دسترسی به پنل","/login","ورود","موبایل","نامشخص","ندارد","مشاهده‌شده","فعال","Web","OTP توسط کاربر وارد شد","ندارد","نامشخص","فرم و داشبورد","talasea-auth-01-login.png","OTP توسط پژوهشگر وارد نشد","Auth"
"TAL-DASH-001","داشبورد","خانه پنل","قیمت، دارایی، نمودار و میانبرها","دید سریع","/dashboard","پس از ورود","ورود","نامشخص","ندارد","مشاهده‌شده","فعال","Web","موجودی صفر نمایش داده شد","ندارد","ندارد","داشبورد","talasea-FL-DASH-001-01-dashboard.png","نسخه 3.0.3","Dashboard"
"TAL-PRICE-001","قیمت","قیمت و نمودار","قیمت لحظه‌ای، حباب و بازه‌ها","تصمیم‌گیری","Public/Dashboard","خانه","ندارد","ندارد","ندارد","مشاهده‌شده","فعال","Web","بالاترین/پایین‌ترین و حباب نمایش دارد","ندارد","ندارد","صفحه قیمت و داشبورد","talasea-price-01-public-prices.png","","Price"
"TAL-TRADE-001","معامله","خرید طلا","ورودی تومان یا گرم و پیش‌نمایش","خرید سریع","/dashboard/trades","منو سفارش","ورود","احتمالاً لازم","کیف پول یا درگاه","مشاهده‌شده","فعال","Web","حداقل ۱۰۰هزار؛ بالای ۵ گرم بیمه پیش‌فرض","۱٪ در پیش‌نمایش فروش؛ خرید عمومی متناقض","بدون سقف در راهنما","راهنمای داخل فلو","talasea-FL-TRADE-001-01-buy-sell-entry.png","تکمیل نشد","Trade"
"TAL-TRADE-002","معامله","فروش طلا","تبدیل طلا به موجودی تومان","نقدشوندگی","/dashboard/trades","تب فروش","ورود","احتمالاً لازم","موجودی طلا","مشاهده‌شده","فعال","Web","وجه به کیف تومان می‌رود","۱٪","حداقل ۱۰۰هزار","فرم و راهنما","talasea-FL-TRADE-001-01-buy-sell-entry.png","موجودی صفر","Trade"
"TAL-LIMIT-001","معامله","سفارش با قیمت","فعال‌شدن معامله در شرط قیمت","اتوماسیون معامله","/dashboard/limit-order","منو","ورود","نامشخص","موجودی کافی","مشاهده‌شده","فعال","Web","قیمت شرط است؛ اجرا با اولین قیمت بازار","نامشخص","نامشخص","راهنمای صفحه","talasea-FL-LIMIT-001-01-entry.png","قیمت اجرا ممکن است متفاوت باشد","Order"
"TAL-MARGIN-001","معامله پرریسک","سفارش تعهدی","معامله ضریب‌دار با لیکویید","افزایش قدرت معامله","/dashboard/margin-trade","منو","ورود و پذیرش قوانین","احتمالاً لازم","وثیقه","مشاهده‌شده","فعال مشروط","Web","حق فعال/غیرفعال‌سازی برای طلاسی؛ هشدار فقط هنگام لیکویید","۱٪ سفارش + ۰٫۶۵٪ روزانه","متغیر","صفحه و قوانین","talasea-FL-MARGIN-002-01-rules.png","تأیید نشد","High Risk"
"TAL-WALLET-001","کیف پول","دارایی طلا و تومان","ارزش کل و دو موجودی","کنترل دارایی","/dashboard/wallet","منو","ورود","نامشخص","ندارد","مشاهده‌شده","فعال","Web","ارزش کل جمع دو دارایی است","ندارد","ندارد","صفحه دارایی","talasea-FL-WALLET-001-01-assets.png","","Wallet"
"TAL-DEP-001","واریز","درگاه پرداخت","شارژ کیف تومان","تأمین وجه سریع","/dashboard/irt-transaction","واریز","ورود","مالکیت کارت","کارت بانکی","مشاهده‌شده","فعال","Web","فقط حساب به نام کاربر","نامشخص","۵هزار تا ۴۰۰میلیون","راهنمای صفحه","talasea-FL-IRT-001-01-deposit-withdrawal.png","پرداخت انجام نشد","Deposit"
"TAL-DEP-002","واریز","واریز مستقیم پایا","واریز با شبا برای مبالغ بالا","جابجایی کلان","/dashboard/irt-transaction","واریز مستقیم","ورود","کارت مبدأ ثبت‌شده","حساب بانکی","مشاهده‌شده","فعال","Web","فقط پایا؛ روش‌های دیگر منظور نمی‌شود","نامشخص","پیشنهاد بالای ۴۰۰میلیون","راهنمای صفحه","talasea-FL-IRT-001-01-deposit-withdrawal.png","","Deposit"
