Feature ID,Category,Feature Name,Description,User Benefit,Location,Entry Point,Access Requirement,KYC Requirement,Financial Requirement,Observed Status,Availability,Platform,Business Rule,Fee,Limit,Evidence,Screenshot ID,Notes,Comparison Tag
"FT-AUTH-001","ورود","ورود به حساب","ورود به PWA با حساب کاربر","دسترسی به دارایی و تراکنش","/pwa/account","URL مستقیم","شماره موبایل و OTP احتمالی","نامشخص","ندارد","قابل‌دسترسی‌نبود","نامشخص","PWA","به دلیل لاگین بودن بررسی نشد","نامشخص","نامشخص","/pwa/account کاربر را به داشبورد برد","melligold-FL-PROFILE-001-01-account-route.png","برای جلوگیری از خروج حساب تست نشد","Auth"
"FT-AUTH-002","ثبت‌نام","ثبت‌نام کاربر جدید","ایجاد حساب جدید","شروع استفاده از محصول","صفحات ورود/ثبت‌نام","نامشخص","خروج از حساب لازم بود","نامشخص","ندارد","قابل‌دسترسی‌نبود","نامشخص","PWA/Public","مشاهده مستقیم نشد","نامشخص","نامشخص","حساب از قبل وارد شده بود","","در گزارش به عنوان محدودیت ثبت شد","Auth"
"FT-KYC-001","احراز هویت","وضعیت تایید کاربر","نمایش تایید شدن حساب در پروفایل","اعتماد و امکان استفاده از فلوهای مالی","/pwa/profile","پروفایل","ورود","انجام‌شده","ندارد","مشاهده‌شده","فعال","PWA","حساب تایید شده نمایش داده شد","ندارد","نامشخص","متن «تایید شده» در پروفایل","melligold-FL-PROFILE-001-02-profile-menu.png","مراحل KYC از ابتدا مشاهده نشد","KYC"
"FT-DASH-001","داشبورد","خانه اپ","نمایش قیمت لحظه‌ای، موجودی و میانبرها","شروع سریع و دید کلی دارایی","/pwa/home?asset=gold","Bottom nav > خانه","ورود","احتمالاً لازم","ندارد","مشاهده‌شده","فعال","PWA","نمایش طلا و کیف پول","ندارد","ندارد","داشبورد لاگین‌شده مشاهده شد","melligold-FL-DASH-001-01-home-dashboard.png","موجودی طلا صفر و کیف پول ۲۰ هزار تومان بود","Dashboard"
"FT-DASH-002","دارایی","سوییچ طلا/نقره","تغییر دارایی فعال بین طلا و نقره","مقایسه و معامله چند دارایی","Dashboard/Buy-Sell/Services","تب طلا/نقره","ورود","احتمالاً لازم","ندارد","مشاهده‌شده","فعال","PWA","برای نقره فقط مسیرهای محدودتر نمایش داده شد","نامشخص","نامشخص","asset=silver نمایش قیمت نقره و خدمات محدود داشت","","اسکرین‌شات صحیح نقره قابل استفاده ندارد؛ شواهد متنی مستقیم ثبت شد","Asset"
"FT-DASH-003","قیمت","نمودار قیمت داخلی","نمودار قیمت روزانه/هفتگی/ماهیانه","کمک به تصمیم خرید/فروش","Dashboard","خانه","ورود","ندارد","ندارد","مشاهده‌شده","فعال","PWA","تغییرات روزانه درصدی نمایش داده شد","ندارد","ندارد","تب‌های روزانه/هفتگی/ماهیانه در داشبورد","melligold-FL-DASH-001-01-home-dashboard.png","نمودار تعاملی کامل تست نشد","Price"
"FT-DASH-004","ناوبری","میانبر خدمات","نمایش shortcut به وام، قسطی، سفارش خودکار، زرگر، تحویل، تاریخچه، کارت هدیه، دعوت","کاهش عمق ناوبری","Dashboard","خانه","ورود","بسته به سرویس","بسته به سرویس","مشاهده‌شده","فعال","PWA","میانبرها بسته به asset تغییر می‌کنند","نامشخص","نامشخص","میانبرها در داشبورد و خدمات مشاهده شدند","melligold-FL-DASH-001-01-home-dashboard.png","برای شمش الگوی خوبی برای هاب خدمات است","Navigation"
"FT-BUY-001","خرید","خرید طلا","ورود مبلغ ریالی برای خرید طلا","تبدیل ریال به طلا","/pwa/buy-sell?asset=gold","خرید و فروش > خرید","ورود و کیف پول","احتمالاً لازم","موجودی ریالی","مشاهده‌شده","فعال","PWA","حداقل خرید ۰.۰۰۱ گرم/۱ سوت در خطا نمایش داده شد","کارمزد در پیش‌فاکتور نمایش داده شد","حداقل ۱۰,۰۰۰ تومان در placeholder و حداقل ۱ سوت در خطا","فرم و پیش‌فاکتور خرید مشاهده شد","melligold-FL-BUY-001-03-confirm-preview.png","خرید موفق نشد","Buy"
"FT-BUY-002","خرید","نمایش معادل گرم","با ورود مبلغ، معادل گرم نمایش داده می‌شود","شفافیت مقدار دارایی","فرم خرید","Input مبلغ","ورود","احتمالاً لازم","موجودی/مبلغ","مشاهده‌شده","فعال","PWA","۲۰,۰۰۰ تومان حدود ۰.۰۰۱۱ گرم نشان داد","نامشخص","وابسته به قیمت لحظه‌ای","معادل گرم در فرم خرید دیده شد","melligold-FL-BUY-001-04-valid-amount.png","برای شمش باید واحد سوت/گرم توضیح داده شود","Buy"
"FT-BUY-003","خرید","همه موجودی","قرار دادن کل موجودی کیف پول در فرم خرید","سرعت خرید با کل پول","فرم خرید","دکمه همه موجودی","ورود","احتمالاً لازم","موجودی ریالی","مشاهده‌شده","فعال","PWA","کل کیف پول را مبنا می‌گیرد","نامشخص","محدود به موجودی","دکمه در فرم خرید مشاهده شد","melligold-FL-BUYSELL-001-01-buy-sell-entry.png","رفتار دقیق با کارمزد تست کامل نشد","Buy"
"FT-BUY-004","خرید","کد تخفیف خرید","فیلد ورود کد تخفیف در خرید طلا","کاهش هزینه یا کمپین","فرم خرید طلا","فیلد کد تخفیف","ورود","احتمالاً لازم","خرید","مشاهده‌شده","فعال","PWA","کد واقعی تست نشد","نامشخص","نامشخص","فیلد «کد تخفیف خود را وارد کنید» مشاهده شد","melligold-FL-BUYSELL-001-01-buy-sell-entry.png","در نقره این فیلد در مشاهده اولیه دیده نشد","Promotion"
"FT-BUY-005","خرید","پیش‌فاکتور خرید","نمایش مقدار، مبلغ، قیمت لحظه‌ای، کارمزد، بیمه/نگهداری و پرداخت","اطمینان قبل از پرداخت","پیش‌فاکتور خرید","کلیک خرید بعد از مبلغ معتبر","ورود و مبلغ معتبر","احتمالاً لازم","موجودی ریالی","مشاهده‌شده","فعال اما ابهام‌دار","PWA","در مبلغ کم برخی ردیف‌ها صفر شدند","کارمزد ۱۷,۵۳۳ تومان در تست دیده شد","مبلغ کل خرید در CTA ۱۷,۵۳۳ تومان","پیش‌فاکتور با ردیف‌های مالی مشاهده شد","melligold-FL-BUY-001-03-confirm-preview.png","ابهام جدی: ردیف مبلغ خرید/طلا صفر اما CTA مبلغ‌دار","Buy"
"FT-BUY-006","خرید","اعتبارسنجی حداقل خرید","خطا برای مبلغی که حداقل سوت را پوشش ندهد","پیشگیری از سفارش نامعتبر","فرم خرید","ورود ۱۰,۰۰۰ تومان/خرید","ورود","احتمالاً لازم","مبلغ کمتر از حد","مشاهده‌شده","فعال","PWA","حداقل میزان قابل خرید ۰.۰۰۱ گرم معادل ۱ سوت","ندارد","۰.۰۰۱ گرم","پیام خطا مشاهده شد","melligold-FL-BUY-001-02-enter-min-amount.png","پیام قابل فهم ولی کنار placeholder می‌تواند روشن‌تر باشد","Validation"
"FT-SELL-001","فروش","فروش طلا","فروش موجودی طلا و تبدیل به ریال","نقدشوندگی دارایی","/pwa/buy-sell?asset=gold&tab=sell","تب فروش","ورود","احتمالاً لازم","موجودی طلا","مشاهده‌شده","محدود","PWA","با موجودی صفر قابل تکمیل نبود","نامشخص","حداقل فروش ۰.۰۱ گرم/۱۰ سوت در خطا","فرم فروش و خطا مشاهده شد","melligold-FL-SELL-001-02-insufficient-gold.png","پیش‌فاکتور فروش مشاهده نشد","Sell"
